	17-AAG	AEW541	AZD0530	AZD6244	Erlotinib	Irinotecan	L-685458	LBW242	Lapatinib	Nilotinib	Nutlin-3	PD-0325901	PD-0332991	PF2341066	PHA-665752	PLX4720	Paclitaxel	Panobinostat	RAF265	Sorafenib	TAE684	TKI258	Topotecan	ZD-6474
8MGBA_CENTRAL_NERVOUS_SYSTEM	0.218940899	8.212996525	8.197375441		8.840923607999999		1.788302779	0.102516502			2.16491437	0.045730248		3.795654535		8.007722953	0.010662435	0.102821738			2.152258635		0.292145699	8.797932487999999
A172_CENTRAL_NERVOUS_SYSTEM	0.179407626	8.41962147				0.372975737					8.390719614	8.860050457		3.016013384			0.025582919	0.100972928	0.910875261	8.036559526	3.027561903	8.906422597999999	0.165941164	
A204_SOFT_TISSUE	0.01808529	4.163712025	4.898123264			0.16935519899999998		0.7740103009999999	8.038060305	0.724007547	8.41821977		0.40728718	2.789777994	8.134110117	7.102776051	0.002542614	0.012316435	0.194292203	0.36103496	3.246451139	0.593901813	0.31114229600000004	1.614992142
A2058_SKIN	0.041432258	8.731296965		0.346551329		0.144011647			8.785079022			0.034894064		8.005800769	7.817465305	0.698621452	0.002542614	0.06519019599999999	9.037688401		6.841276169	8.543903855	0.274110109	8.066042892999999
A253_SALIVARY_GLAND	0.343221009		1.7908276319999998	1.226856112	1.207963228				0.34315493700000005			0.18387711		3.45032382			0.002542614	0.060132839	1.3230177159999998	8.098523287999999	8.005974884	8.44733911	0.090558119	2.456981182
A2780_OVARY	0.030796837	8.735670687999999		1.164510131	8.98629013	0.060857885	6.815227032		8.644919667	8.225344173	3.0302358	0.002542614	8.182728065	2.13275		3.54411912	0.008888107	0.054409821	1.4724010230000002	8.0	1.3314948999999998	1.251770616	0.049875863	2.0951840880000003
A375_SKIN	0.150489956	8.043994423	0.269842952	0.081431821	8.040614408	0.149714738			3.254554749	3.652579784	7.375132084	0.002542614	2.7201614380000003	5.987625122000001	4.208201885	0.202794954	0.011357177	0.04371772	0.35975605200000005	8.013059141	0.86318785	4.131525517	0.302082032	8.102954437000001
A549_LUNG	0.077502377	3.299131155	8.28133539	8.680621804	2.394717693	0.441799313			8.692716262000001	8.150643814	8.057238218	8.272846487	1.144818544	8.102258869		6.2122173310000015	0.002542614	0.051568892000000005	8.027367922	8.012370158	1.762624145	9.106064566	1.1037305590000002	2.060424089
A673_BONE	0.164396465	0.627646148	1.160511017		0.002542614			1.223903775					8.161316205	1.995349169		2.63427043	0.002542614	0.024551492	0.581497669		0.597751021	8.240357362000001	0.039823662	2.0427346230000003
ACHN_KIDNEY	0.472540706	8.709852235	1.12213552	0.8884952070000001	0.513201594			1.548313618	1.667333007		4.133451939	1.646963716		2.541533709		2.402731419	0.075328134	0.043252539000000007	0.183958247	8.125815592	2.297744036	1.838894606	0.097282439	1.83044517
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.720209777	2.117016077	0.197714925	0.379500955	8.806416587000001	0.025213882000000003	0.312413216	0.805002749	8.910315347000001	0.002542614	1.074234247	0.01040253	2.929170132	0.79295373	3.653612375	5.82069397	0.011702765	0.006205011999999999	1.101508617	2.614011049	0.907129347	3.134953022	0.009421443	0.881551325
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.022205526		2.5413677690000003	8.296634545	2.553803444	0.103395186	3.79178071			1.900959373	8.903125595	0.052927416	8.781573376	8.786033476	4.153167725		0.009094584	0.01208159	2.248883486	8.238699151	0.435161233	2.629908562	0.065605089	3.582254648
AN3CA_ENDOMETRIUM	0.073025443	0.275005132	3.093264818	2.69486618	1.775448561		9.242966539				1.97778511	8.418642987	5.905437946				0.020010201	0.094054878	9.46728484			8.872846812	3.379252911	1.228989482
ASPC1_PANCREAS	0.08627671	1.181465507	4.551605	2.141568422	3.7248404	0.7200409999999999						0.002542614		3.4122646	8.37231647		0.018581377	0.04492297	1.4657558000000002		0.7527784000000001	2.9595615860000004	1.6640792000000002	1.773178816
AU565_BREAST	0.021328464	9.06517521			2.978539467				0.204432026	8.138304193			0.992861688	7.1837134360000015			0.007013516	0.030530715	8.669332635	7.585767269		8.810607541	0.129808277	7.054640292999999
AZ521_STOMACH	0.26370734	8.542888842	0.327015966		0.7389492390000001	0.005311401	3.106809855	2.891720295			1.860834122	8.963079472					0.008790219	0.032986052	0.263042331	8.344521814	0.886311471	0.985134304	0.21271944	2.306582928
BCPAP_THYROID	0.184246182	8.88907626	2.507880688	0.310981452	7.366518974	0.196432203	9.10469347			8.390072637000001		0.002542614	4.510300636	6.728606701		0.488040358	0.003602189000000001	0.08334607599999999	0.182435364	1.827238917	1.240136504	8.766764395	0.382179022	
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.200280085		0.499204725	0.240021586								0.05667638	1.099745512				0.004356126	0.076979689	8.063882909			3.828689575	0.097587034	0.553195119
BFTC909_KIDNEY	0.081238762	8.839999134	3.534188747				9.266074331					0.140633196	9.112115633	6.747807026			0.01161005	0.076878026	8.70353163		8.006002526	8.558722307	0.254008949	6.374197006
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.79903841	4.192019463				0.047747921			5.392519474				8.035946503	8.108772013			0.002542614	0.039766867	8.233942617			9.020644934	0.149704546	
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.275329709		1.6101945640000002			0.046767816			8.000893639				8.530419302	3.913347483	3.3422670360000004	2.1526975630000003	0.010614841000000002	0.011545843	8.420441778999999		2.033646345	8.632201821	0.054596163	2.201497078
BT20_BREAST						0.235477388	4.606862068											0.091061704			8.243600053		0.891976178	1.598887444
BT474_BREAST	0.033079438		2.62784934		0.981348634		4.164809704		8.020292071	8.738396717999999			2.085233688		6.58958292		0.012523146	0.024930065	1.870322704	6.539692402000001	9.143185		0.004063506	1.900625467
BT549_BREAST	0.01780379	8.566682322	2.042306185			0.082267649				8.071275327999999				7.813856125		2.96090889	0.002542614	0.087065749	1.14700067	4.086617947	8.607239045	4.408383846	0.045841247	3.06177783
BXPC3_PANCREAS	0.17851758	2.367327452	2.22893548	0.217092425	1.015475988				4.018966198			0.06186864900000001				2.096042395	0.010298566	0.096808635			8.289853851	8.376733301	0.258847803	1.906178713
C2BBE1_LARGE_INTESTINE	0.549149871	1.822014451	0.7123851179999999	0.30483374	0.560010612				1.169876575	8.834738015			1.733106971				0.019737855	0.046797812			1.021552205		9.104594102	1.174623609
C32_SKIN	0.007620106	8.347451162		0.982823133		3.4062242510000003				7.24379921		0.082389861	2.478007555			1.607520461	0.07916811900000001	0.289958537	0.203231975		0.935053527		0.219258904	
C3A_LIVER	0.025190407			0.13500075				1.696187258	8.276984773999999			0.002542614	8.206119461	5.222708702				0.028261652	2.47342062		0.002542614		0.367974609	
CAKI2_KIDNEY	0.099662483	1.118192554	3.228861332		8.851273649	2.450563908		9.041483447000001	8.381184645			8.314350178				3.096127987	0.003409147	0.120361447	0.145836413		8.27037502	8.743302418999999	1.120366454	2.08302331
CAL12T_LUNG	0.185387149	8.080013295	1.33098793	2.367756367	0.476265877				2.0953269			0.148701027		3.2888588910000003		4.246960163	0.0053833380000000005	0.05255108		8.23739769	0.672173083	0.8095716829999999	1.7927715780000002	0.672160566
CAL27_UPPER_AERODIGESTIVE_TRACT	0.173958063	8.486004342000001	0.949989021	0.172338858	0.208415255			2.309431791	0.433088809			0.020673677		4.046081066			0.002542614	0.043048318	1.721276402		2.874865532	6.734239101	0.117037632	0.624637365
CAL78_BONE	0.081831008	8.834716502000001			8.295875317	0.162197798			8.682778362	8.753530902				8.182323392999999		1.752584696	0.009546833	0.073621593	0.13756632800000002	8.144489037	8.12275317	2.8962504860000005	0.571628869	
CAL851_BREAST	0.14115709099999998	1.197646022	0.876570761	8.430301747	0.5780281420000001	0.127690107		9.431407792	2.043146133			0.06256634		3.091454029			0.02366408	0.027362019	0.322638541		0.221374631	1.670842886	0.194776297	0.588408232
CALU1_LUNG	0.096476123	0.144324616		0.057250198		3.713831425			9.080534174	2.97313714		0.002542614		8.979390777			0.018522579	0.12601155	0.449074149		8.278137411	8.314344424	8.602001496	
CALU3_LUNG	0.041841503	8.784340242	1.045679569	8.619947882	2.173266649			8.515851921	0.119516589			8.983236831000001		6.664190769				0.035795975	8.51007067		8.00846385	9.201135622	0.228964597	2.33927083
CALU6_LUNG	0.165125921	2.774231672	1.156572461	0.754195035	8.704103248							0.097801387		2.921099663			0.003747538	0.07541131200000001			0.625675917	4.428364754	1.300750017	
CAMA1_BREAST	0.013019911	8.431911715				0.45428282	8.021945844		2.360326529	3.461487055		9.025460883					0.009369855	0.034508243	1.824441791			1.763262153	9.006338864	
CAPAN2_PANCREAS	0.046799377		0.21800824	0.243209943		0.847367585						2.174126148						0.039662223			8.170026395		1.23053813	
CAS1_CENTRAL_NERVOUS_SYSTEM	0.6711484790000001	3.0648064610000003	0.854193985			0.6679932479999999						2.86344099		6.968060492999999			0.020818679	0.058757175	1.365725398		8.03157465	3.486557007	1.838650346	
CCK81_LARGE_INTESTINE	0.316282302		0.46322754		0.38376525							0.116606072					0.135436818	0.038720414			1.515441775		0.246989042	0.430819601
CHL1_SKIN	0.15370594	8.983341298	8.783845015		2.291917086	0.193191305			0.355012804	2.660900593		8.062749515		8.069130706000001		6.274335384	0.0051574690000000005	0.005472332	0.17780503600000006	8.079044145	8.060072672	1.694458485	0.911793828	4.165023327
CHP212_AUTONOMIC_GANGLIA	0.026552394	8.613148835	2.065060854	0.01387505			0.947803557					0.002542614		2.660742998			0.014549782	0.017423661	1.524531364		2.31303668		3.5991916660000003	2.699476004
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.7069827909999999		0.7992475029999999			0.023194904											0.003545192	0.034083955					0.031812809	2.313052893
CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.239659965	8.0			1.4887799	0.0867755				0.8981977109999999	0.537929714			8.701235217999999	2.798432		0.022118079	0.011368655	3.9769466	5.3739433	0.9424523	8.0	0.07478482	
COLO201_LARGE_INTESTINE	0.027629554	0.963818848		0.070625015						8.533590887999999		0.002542614	0.988582551	3.532775164		0.477441192	0.016980035	0.033525784	0.302302182	8.072775222999999	4.259620667	3.570448399	0.987230539	
COLO205_LARGE_INTESTINE	0.016277781	2.530621767	1.393701673	0.056181729000000014	0.032082096000000004		8.645140948	1.273407578		1.097559094	2.783076763	0.002542614	1.712708354	3.611031294		0.371919692		0.037832394	0.506484389	2.90547204	0.910658479	8.262390133	0.075128905	
COLO320_LARGE_INTESTINE	1.897327304	2.32715559	8.29027709		2.291812897	0.328147918			3.687685966	2.641251087			8.959784154	8.444743951		7.52420187	0.41214174	0.065224394	0.123010181	6.757509232	0.297326595	2.0111835	0.451859146	
COLO678_LARGE_INTESTINE	0.013500599	0.872308373	0.47219193	0.002542614	0.189377457	2.286490679	0.211659193		3.1757204530000003			0.014698777	0.221485421	5.25410223				0.108525284	8.094583633	8.035360726	8.436269384	8.596893198	8.072950778	4.273050308
COLO679_SKIN	0.031729337	1.487672806		0.071850047		0.37971276				8.342865131	8.160444366	0.002542614	9.554208563	8.221240947	8.054211392000001	0.449920207	0.00616653	0.002542614	0.552440166	7.095861912		2.610830545	3.230763912	
COLO741_SKIN	0.660736561	3.067899227		8.138255577999999	8.618299106		2.06468749	8.725304512000001	8.290110951			0.020953318				8.193477834	0.013485374	0.093595706			2.695671558	8.940844427	0.41427651	
CORL105_LUNG	0.728481233	1.042907119			0.53757745							0.3953276570000001					0.034859952	0.249696359	8.565621736				4.602005959	2.709363461
CORL23_LUNG	0.479296297	8.556682562				0.4591522220000001						2.2574444		7.093375			0.002542614	0.05797100400000001	8.779542823	4.251617	8.0	4.608951599999998	1.07045579	
COV318_OVARY	0.557713151	8.728316008				1.136308193				7.938932896				3.1827037330000003			0.237964138	0.134353638			8.113463586	1.332648516	1.412104845	2.391966343
COV504_OVARY	0.26108995100000004	8.455836536	0.44123137		8.989180119					8.011692339		0.29375574		3.283787727			0.026835697	0.072848007	8.445193254		2.317010164	1.262475967	1.427306652	2.139209032
DAOY_CENTRAL_NERVOUS_SYSTEM	0.485228688	8.484695875				0.170550123		1.204371452		7.009179115						4.572468758	0.016800923	0.035355568	8.295177647000001		2.145682573	8.389500332	0.06945134	5.8535380360000016
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	0.238610581	8.069142897999999	8.896761131	0.054482624	2.569366217	0.055240039000000005				2.124032021	3.571681023	0.002542614	8.414747474	4.480661869		8.567197854	0.027442006	0.105249546	0.101550035	4.534245491	8.09011932	8.295490887	0.264058053	
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.03076688	8.222583903	3.000225067		8.538102607999999	0.008811066999999999			8.386159299	8.779198827		0.02122785	1.460168958	0.199420735	1.961661935		0.006232769	0.022190716		4.864268303	0.008746832	8.547960843	0.016684353	5.685574055
DETROIT562_UPPER_AERODIGESTIVE_TRACT	0.187755972	0.105092965	2.103766441	0.7007366420000001	0.959799469			2.147413731	8.568179915	8.143018024		0.002542614	1.940104485				0.017282298	0.075608045	6.443496704		9.002188774	8.100612175	2.667163849	1.950086474
DKMG_CENTRAL_NERVOUS_SYSTEM	0.123933911		1.5900679830000002	0.040257901	9.235823084	0.370027065			5.96993494		2.630233526	8.490422469	8.731462512	0.664803326	1.40881598		0.01999443	0.080188043	0.201574638		2.023636818	0.523219883	0.818448961	2.191557169
DMS114_LUNG	0.38508141	0.581314266	8.138706107				7.939729691		0.385773063	8.331872804			0.956522942	5.794850826	5.337802887		0.005887663	0.04127961	8.47970305	4.73190546	0.800305426	8.883526571	0.06184704200000001	2.9426114560000003
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.33423841					0.10102839					2.241090775				2.625776291			0.02037731					0.382461786	
DU145_PROSTATE	0.038949654	8.297514219	1.1265640259999998	8.528176339	2.174155951	0.193434656			1.224770308	8.161029394		1.640651464		6.191699028		8.323139829	0.009754937	0.018848136	0.122951634		1.67248857	2.160370111	0.400743276	1.343788266
DV90_LUNG	0.110455282			1.395704269								0.028613655					0.012105352	0.049460497					0.179452732	5.74999094
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.709325135		1.898514509										2.205078363				0.011070703	0.227277771					0.280493855	
EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.110284328		1.374880195														0.020156138	0.231675416	7.037983894				0.12533097	
EBC1_LUNG	0.015572329	9.014387097	2.745554447	0.703030765		0.112344429		2.029722691	6.6879310610000005	8.336495536000001		0.042187713	0.242108315	0.045940842	0.238291606	2.590489626	0.020002564	0.042743199	0.15309234		1.316774011		0.08838905400000001	3.158746243
EFE184_ENDOMETRIUM	0.264932662	4.063054562	0.771646023	0.17479546399999998	0.456324488	0.7058815359999999			8.204432079	6.56737709		4.492999554		7.064960003			0.225404248	0.117884204	8.824409908		8.328719528999999		1.498484373	1.833742023
EFM19_BREAST	0.042367008	8.934178232999999	8.105140426			1.295749307		0.15110483800000002	8.867133701				0.565274596	8.332003744	8.275729266		0.009638786	0.029494157000000007	1.504322767	8.346948667000001	0.41806224	2.238785028	8.174907632	2.308192253
EFO21_OVARY	0.180796623	1.689927578	9.003418816	2.48457551	4.168848515	0.406576514		1.4146521090000002	8.359477400000001			0.131599709		5.451784134		7.295510769	0.006518861	0.106696814	8.753716378	3.5701720710000004	1.216094255	8.349193432	0.364084899	2.107769012
EFO27_OVARY	0.317508072	1.232770085	0.565176964	2.535234451	0.498583347	0.528772652			0.959794521			0.12823844		8.024758138			0.015999835	0.018401165	0.205170676	8.096802132999999	1.7577581409999998	8.123735038	1.1299602990000002	
EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.133837685	8.5957363	0.224727899	0.315507233	8.849429867000001	0.046457723				0.004420172		0.002542614	0.742015183	0.77206701	4.014349461	7.605941296		0.014701611000000003	0.195571572	2.654259682	1.259117365	8.052818296	0.043855116	1.032660127
EN_ENDOMETRIUM	0.104442269	0.06383892099999999				2.951051474								8.423842674			0.004075329	0.04265321	0.535443246	8.046086544	1.382069349	8.325474595		
ES2_OVARY	0.6760312909999999	8.861239596		0.238065839				0.680171311				0.033823185	8.553304634	5.398576736		1.899696112	0.025155321	0.040530432000000005	0.8573534490000001	7.79406929		8.597683085	0.074187987	
ESS1_ENDOMETRIUM	0.088794842	8.49196672	3.652647018	8.531389394	8.243766737			0.094544373	8.647834009			9.111799583		7.870743752	6.282022952999999	7.498805046	0.00969001	0.049008634			2.633247614	2.018911123	0.013007409	2.833131075
F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.391811848	0.21099013100000005		0.050896905	6.356070042000001	0.564443171		4.516931057		8.093987239		0.092979163	0.914699435	2.99402523			0.010931497	0.004200439	0.071784317		0.35183948299999995	0.823030233	2.581782818	
FADU_UPPER_AERODIGESTIVE_TRACT	0.019789666	1.591280103	1.825864911	0.042181518	0.767408073		9.338980588		0.50554961	6.701414585		0.01276476	2.298291683	6.833144665			0.0034300470000000003	0.071137615	0.633930087		8.237484832	2.281645536	0.26270324	1.137323022
FU97_STOMACH	0.062063873	2.918102741	1.645186424	0.8406918640000001	0.985450149		2.142477512		2.635005236			0.193015546				6.384712219	0.004284119	0.014576951	1.17538774	2.26104188	2.8660347460000004	2.054125786	7.77111721	1.677787423
FUOV1_OVARY	0.29736909300000003	0.41385439	0.07288349400000001	0.002542614	8.502243047	0.539351523			0.57660687			0.002542614		7.542516708			0.002542614	0.022606689	1.195437431	2.391615152	4.043495655	0.23732914	8.669885315	1.27056098
G361_SKIN	0.07529626	8.247628175	5.056686878	0.321054727	2.433682442	0.108107723	1.679513574	2.521742105	2.981796265	4.008089542	2.250049353	0.010502953	8.064015347	3.751197577	6.553905964	0.924262345	0.01364277	0.017742746	0.657018721	3.829979897	8.141192635	8.196860581000001	0.370969176	6.468725681
G401_SOFT_TISSUE	0.070909321	1.302927375	0.832176507		3.924662113	0.079562925	8.05720847		8.274941514	8.699294488	3.732831717	2.484352112	0.643615782	8.332430113	8.036013554		0.009683895	0.010946852	1.898373961	3.188667774	1.61757946	2.3163867	0.142663613	8.207522126
G402_SOFT_TISSUE	0.079352327	8.284599782999999	1.484662294				2.143155575		9.087363641		8.013928297	8.172306175		6.327002525			0.002542614	0.112538114	1.156095624	0.8681752090000001	7.513617516	1.985280633	0.06463081400000001	8.584277151
GAMG_CENTRAL_NERVOUS_SYSTEM	0.08195965	8.421096765										2.469465971					0.01454006	0.144322082			4.337661743	8.733408264	1.969703078	
GB1_CENTRAL_NERVOUS_SYSTEM	0.726430118	2.476015329		0.586713016	2.154639244	0.078804962	8.72655617					8.9177939	8.495884836	3.723583698		2.528630733	0.046106149000000006	0.097830728	0.160627857	7.668397427	2.057009935	1.918980718	0.038113076	
GCIY_STOMACH	0.75508374	9.64981753	1.262849927		8.908105721				9.026770702	8.158780984	8.472566262	8.954344384					0.064762153	0.0610063	8.76778589		8.191996887	7.788484573	0.6621649860000001	1.97606802
GCT_SOFT_TISSUE	0.294174373	8.810560254	1.24093914	0.158939824	8.169985783	0.042752914	7.746426582000001	0.393072158	3.483610868	8.100199047		0.004670071	1.470052719	4.695664406000001		8.703121904	0.002542614	0.067029089	0.212366179	4.183875561	1.933865547	1.676169395	0.045519806	7.35263443
GI1_CENTRAL_NERVOUS_SYSTEM	0.15393959	2.486175776							2.119527817			8.543831326		2.141913652			0.013168042	0.056109346			3.254235029	1.960757136	8.247412207	
GMS10_CENTRAL_NERVOUS_SYSTEM	0.208066851	5.100087166000001	1.20294416			1.809732676		1.465238929				3.883296251	2.798555374	2.858497143			0.005710164	0.202794597	2.006726265		7.680865765	8.468797121	4.860681057	
GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		1.398884416	0.002542614			0.014287763					2.981480837		0.576317847	2.573021412				0.028866598	8.306994121		0.722523868	2.827142954	0.041979648	1.196974516
H4_CENTRAL_NERVOUS_SYSTEM	0.14491969300000002	8.075872985			2.658244133					8.004673578	3.303859472		2.52644825	8.00827674			0.03547791	0.063156381	7.906908512		2.599748135	2.064882278	0.433065057	2.008414507
HARA_LUNG	0.192938626	8.608051705	2.579946041		1.001384735				8.861800421			8.475510472					0.008577128	0.124379024	2.211768627		2.87883091	8.671388354	0.219012856	2.15157342
HCC1187_BREAST	1.017667413		8.486227374				0.564342201										0.012309728	0.075580336	8.413896109			2.78186059	8.273657964	
HCC1395_BREAST	0.010956545	0.57633698			8.338648497000001		1.031255603		0.753262937			1.052071214					0.010007542	0.667128921				8.396173969	0.024211278	
HCC15_LUNG	0.03170532	8.044845396	2.067428589	8.147726577				1.227450371			1.816307545	0.026453476	8.169823878999999	3.256439209			0.008919746999999999	0.034734242	8.664965656		1.461821079	8.574451837	0.538516521	2.197055817
HCC1569_BREAST	0.144838095	1.820515752	1.95031023			0.769925237				8.060549212		0.002542614	8.421156871					0.262126952					2.909291029	2.61330533
HCC1806_BREAST	0.059570543	8.028769914	0.431944311	0.08744017	1.954791307		7.753481865			8.003666774	9.03774031	0.038444895		3.431067467			0.002542614	0.040593732	0.323268682	8.041353407999999	2.44173193	3.554207802	0.062321987	1.271851301
HCC1954_BREAST	0.053708408	8.922730124	1.541207671		1.433703661				8.357420767	3.300563574		0.004156668	0.596598744	8.072483433			0.008352162	0.056485623	8.787153445	6.816840172000001	6.896231651	8.577659646	1.892754197	2.134763956
HCC2935_LUNG	0.015474424	0.402578533	0.605257571		0.183143467	0.890125155			1.39151454	8.19167101								0.114116356	0.67730546		7.960268974		8.187172192	0.08862155699999999
HCC4006_LUNG	0.032509625	8.670381391	0.886209369	4.118072033	0.110252991	0.556358397			2.355744839	8.33766156		8.499871275	0.7298426029999999	6.3059287070000005			0.002542614	0.05909384	8.283314902999999	8.138365076	8.48423747	8.577643282	8.657789318999999	0.41164425
HCC44_LUNG	0.062767997	8.560937849		2.866830111	8.705939726			0.532966197				8.000812234					0.011043856	0.06346496900000001	8.634862538		6.030266762	8.807569598999999	1.162171006	
HCC56_LARGE_INTESTINE		2.703020334	0.15779759	0.124425307	0.4608339970000001	0.947291017		2.483313322	8.624270168999999			0.0051573140000000005					0.171231195	0.045611691			7.454293251		8.201244472	0.716956615
HCC70_BREAST	7.088535117999999			0.125415251		0.075725049			8.132246633			7.083399927		7.041330814			5.986502122	0.086608	8.45733303			2.4629133	0.068237305	3.633477688
HCC78_LUNG	0.187795743	1.7254043819999998							0.926578164				8.258199538	8.544915984			0.018740568	0.084972508	4.958338261000001		0.8787246940000001		0.130419433	
HCC827_LUNG	0.12517111		0.403383762		0.029334972												0.008939037	0.102085918					8.773231297	0.307156295
HCT116_LARGE_INTESTINE	0.17858286199999998	3.317116261				0.230808109				8.401109818		0.277186483		6.490972996			0.002542614	0.040153056	2.566114902	6.081815242999999	8.886339973	8.445617333	0.17531848	
HCT15_LARGE_INTESTINE	0.5155145529999999	8.645836873	8.447515813999999		8.169568807000001	0.23390516600000005			8.597037519	8.806065405		8.364853844		7.953935146		8.001684309	0.288159758	0.197607845	0.548357964	8.629457783	8.56580063	8.878854297	0.344557822	8.359644981
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.147855014	8.506471239	8.032328649	0.24595207	3.82346797				8.411270266			0.00476073		3.4245438580000003		4.150444984	0.004230207	0.073874019		8.065450755	2.491329908	2.3563668730000003	0.038368884	
HDQP1_BREAST	0.098501183	8.550541503	0.42085582	0.74307102	0.154859424	0.17001155			0.445293456			8.493745833						0.036819633	0.159010917				0.195853725	1.7122561930000002
HEC151_ENDOMETRIUM	0.173502579		0.932121098	1.463135958	0.105709143	0.299900383			8.186836041	7.329790115		0.04823244					0.002542614	0.023240991000000003	0.085789233	7.913124084	1.719371915	1.698610783	0.439593494	1.635670304
HEC1A_ENDOMETRIUM	0.1191165	0.395035923	8.558108252							7.230309486			0.764195979	3.50427556			0.002542614	0.043808322	8.291243339	6.771798611	2.337085724	8.797150712999999	0.766195416	2.182020903
HEC1B_ENDOMETRIUM	0.042914387000000005	8.072138702	0.041293759	0.023842728	7.174179077000001	8.371686017						0.002542614	2.772366047	3.861989975			0.0056333880000000005	0.02214017	0.25553357600000004				0.397488713	0.367575765
HEC251_ENDOMETRIUM	8.61799467		4.2022557260000015		0.438649237	2.192310095	8.395385682		0.270502985			0.035637319					0.011104086	0.051025894	0.323134929	8.186910633	2.951519728	8.996366317	8.597872282	3.690776825
HEC265_ENDOMETRIUM	0.043697170999999986					0.322805971			2.715893984								0.002542614	0.058366895	0.481613576	7.020515919	7.212037086	8.270260583999999	0.424771756	8.956433809
HEC59_ENDOMETRIUM	0.238041714	3.4539117810000004				0.11827153	1.329851031	2.5872576240000003				0.098127663	3.958518505	4.639713764		8.116057057999999		0.06655626	0.35933172700000005	4.202868462	2.417768717	7.920575619	0.09498322	
HEC6_ENDOMETRIUM	0.262559563																0.002685017	0.025089432					0.8733977079999999	
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.560896754											0.014867549					0.066357106	0.057323996	8.035385306			8.532434722	0.443753392	
